Filter,Selected Values,,,
Standard EIv3 Family vCPUs,West US,0,4,0%
Standard EISv3 Family vCPUs,West US,0,4,0%
Standard DCS Family vCPUs,West US,0,0,0%
Standard NVSv2 Family vCPUs,West US,0,0,0%
Standard MSv2 Family vCPUs,West US,0,0,0%
Standard HBS Family vCPUs,West US,0,0,0%
Standard HCS Family vCPUs,West US,0,0,0%
Standard NVSv3 Family vCPUs,West US,0,0,0%
Standard NV Promo Family vCPUs,West US,0,6,0%
Standard NC Promo Family vCPUs,West US,0,6,0%
Standard H Promo Family vCPUs,West US,0,0,0%
Standard DAv4 Family vCPUs,West US,0,4,0%
Standard DASv4 Family vCPUs,West US,0,4,0%
Standard EAv4 Family vCPUs,West US,0,4,0%
Standard EASv4 Family vCPUs,West US,0,4,0%
Standard NDSv3 Family vCPUs,West US,0,0,0%
Standard DCSv2 Family vCPUs,West US,0,0,0%
Standard NVSv4 Family vCPUs,West US,0,0,0%
Standard NDSv2 Family vCPUs,West US,0,0,0%
Standard NPS Family vCPUs,West US,0,4,0%
Standard HBrsv2 Family vCPUs,West US,0,0,0%
Standard NCASv3_T4 Family vCPUs,West US,0,0,0%
Standard NDASv4_A100 Family vCPUs,West US,0,0,0%
Standard EIDSv4 Family vCPUs,West US,0,4,0%
Standard XEISv4 Family vCPUs,West US,0,4,0%
Standard EIASv4 Family vCPUs,West US,0,4,0%
Standard HBv3 Family vCPUs,West US,0,0,0%
Standard MDSMediumMemoryv2 Family vCPUs,West US,0,0,0%
Standard MIDSMediumMemoryv2 Family vCPUs,West US,0,0,0%
Standard MSMediumMemoryv2 Family vCPUs,West US,0,0,0%
Standard MISMediumMemoryv2 Family vCPUs,West US,0,0,0%
Standard DASv5 Family vCPUs,West US,0,4,0%
Standard EASv5 Family vCPUs,West US,0,4,0%
Standard Ev5 Family vCPUs,West US,0,4,0%
Standard EIv5 Family vCPUs,West US,0,4,0%
Standard EDv5 Family vCPUs,West US,0,4,0%
Standard EIDv5 Family vCPUs,West US,0,4,0%
Standard ESv5 Family vCPUs,West US,0,4,0%
Standard EISv5 Family vCPUs,West US,0,4,0%
Standard EDSv5 Family vCPUs,West US,0,4,0%
Standard EIDSv5 Family vCPUs,West US,0,4,0%
Standard Dv5 Family vCPUs,West US,0,4,0%
Standard DDv5 Family vCPUs,West US,0,4,0%
Standard DSv5 Family vCPUs,West US,0,4,0%
Standard DDSv5 Family vCPUs,West US,0,4,0%
Standard DLSv5 Family vCPUs,West US,0,4,0%
Standard DLDSv5 Family vCPUs,West US,0,4,0%
Standard LSv3 Family vCPUs,West US,0,4,0%
Standard LASv3 Family vCPUs,West US,0,4,0%
Standard DCSv3 Family vCPUs,West US,0,4,0%
Standard DDCSv3 Family vCPUs,West US,0,4,0%
Standard DADSv5 Family vCPUs,West US,0,4,0%
Standard EADSv5 Family vCPUs,West US,0,4,0%
Standard FXMDVS Family vCPUs,West US,0,0,0%
Standard DPLDSv5 Family vCPUs,West US,0,4,0%
Standard DPLSv5 Family vCPUs,West US,0,4,0%
Standard DPDSv5 Family vCPUs,West US,0,4,0%
Standard DPSv5 Family vCPUs,West US,0,4,0%
Standard EPDSv5 Family vCPUs,West US,0,4,0%
Standard EPSv5 Family vCPUs,West US,0,4,0%
Standard NDAMSv4_A100Family vCPUs,West US,0,0,0%
Standard DCASv5 Family vCPUs,West US,0,4,0%
Standard ECASv5 Family vCPUs,West US,0,4,0%
Standard ECIASv5 Family vCPUs,West US,0,0,0%
Standard DCADSv5 Family vCPUs,West US,0,4,0%
Standard ECADSv5 Family vCPUs,West US,0,4,0%
Standard ECIADSv5 Family vCPUs,West US,0,0,0%
Standard NVADSA10v5 Family vCPUs,West US,0,0,0%
Standard NCADS_A100_v4 Family vCPUs,West US,0,0,0%
Standard EBDSv5 Family vCPUs,West US,0,4,0%
Standard EBSv5 Family vCPUs,West US,0,4,0%
Standard EIASv5 Family vCPUs,West US,0,4,0%
Standard EIADSv5 Family vCPUs,West US,0,0,0%
Standard NCADSA10v4 Family vCPUs,West US,0,0,0%
standard DCACCV5 Family vCPUs,West US,0,4,0%
standard DCADCCV5 Family vCPUs,West US,0,4,0%
standard ECACCV5 Family vCPUs,West US,0,4,0%
standard ECADCCV5 Family vCPUs,West US,0,4,0%
Standard EIBDSv5 Family vCPUs,West US,0,4,0%
Standard EIBSv5 Family vCPUs,West US,0,4,0%
Standard DCEV5 Family vCPUs,West US,0,4,0%
Standard DCEDV5 Family vCPUs,West US,0,4,0%
Standard ECEV5 Family vCPUs,West US,0,4,0%
Standard ECEDV5 Family vCPUs,West US,0,4,0%
Standard HBv4 Family vCPUs,West US,0,0,0%
Standard HX Family vCPUs,West US,0,0,0%
Standard Bpsv2 Family vCPUs,West US,0,4,0%
Standard Bsv2 Family vCPUs,West US,0,4,0%
Standard Basv2 Family vCPUs,West US,0,4,0%
Standard ECIEV5 Family vCPUs,West US,0,4,0%
Standard ECIEDV5 Family vCPUs,West US,0,4,0%
